frame_x,frame_y,frame_u,frame_v,frame_angle,frame_angle_tran
-0.4,-0.09,0.421473766,423.6019876,68.19859051,-21.80140949
-0.4,-0.08,3.823857292,456.7687112,68.19859051,-21.80140949
-0.4,-0.07,6.76410945,489.6684685,68.19859051,-21.80140949
-0.4,-0.06,9.282399748,522.3427925,68.19859051,-21.80140949
-0.4,-0.05,11.41299751,554.8284645,68.19859051,-21.80140949
-0.4,-0.04,13.18450512,587.1582739,68.19859051,-21.80140949
-0.4,-0.03,14.62005541,619.3617419,68.19859051,-21.80140949
-0.4,-0.02,15.73747312,651.4658121,68.19859051,-21.80140949
-0.4,-0.01,16.54940048,683.4955171,68.19859051,-21.80140949
-0.4,0,17.06338696,715.474626,68.19859051,-21.80140949
-0.4,0.01,17.28194306,747.4262793,68.19859051,-21.80140949
-0.4,0.02,17.20255827,779.3736174,68.19859051,-21.80140949
-0.4,0.03,16.81768314,811.3404095,68.19859051,-21.80140949
-0.4,0.04,16.11467542,843.3516882,68.19859051,-21.80140949
-0.4,0.05,15.07571038,875.4343971,68.19859051,-21.80140949
-0.4,0.06,13.6776552,907.6180572,68.19859051,-21.80140949
-0.4,0.07,11.89190748,939.9354583,68.19859051,-21.80140949
-0.4,0.08,9.684197893,972.4233813,68.19859051,-21.80140949
-0.4,0.09,7.014356943,1005.123359,68.19859051,-21.80140949
-0.4,0.1,3.836045803,1038.082482,68.19859051,-21.80140949
-0.4,0.11,0.096451321,1071.354249,68.19859051,-21.80140949
-0.39,-0.17,2.912487696,150.5397367,68.69421638,-21.30578362
-0.39,-0.16,10.79329856,187.1755877,68.69421638,-21.30578362
-0.39,-0.15,17.76252996,223.0336695,68.69421638,-21.30578362
-0.39,-0.14,23.9134699,258.2184278,68.69421638,-21.30578362
-0.39,-0.13,29.33085123,292.8218954,68.69421638,-21.30578362
-0.39,-0.12,34.09135894,326.9249443,68.69421638,-21.30578362
-0.39,-0.11,38.2641025,360.59845,68.69421638,-21.30578362
-0.39,-0.1,41.91105322,393.9043743,68.69421638,-21.30578362
-0.39,-0.09,45.08744658,426.896773,68.69421638,-21.30578362
-0.39,-0.08,47.84214961,459.6227338,68.69421638,-21.30578362
-0.39,-0.07,50.21799324,492.1232524,68.69421638,-21.30578362
-0.39,-0.06,52.25206976,524.4340517,68.69421638,-21.30578362
-0.39,-0.05,53.97599515,556.5863503,68.69421638,-21.30578362
-0.39,-0.04,55.41613655,588.607588,68.69421638,-21.30578362
-0.39,-0.03,56.59380465,620.522113,68.69421638,-21.30578362
-0.39,-0.02,57.52541117,652.3518378,68.69421638,-21.30578362
-0.39,-0.01,58.22259131,684.1168701,68.69421638,-21.30578362
-0.39,0,58.69229117,715.836125,68.69421638,-21.30578362
-0.39,0.01,58.93682032,747.5279242,68.69421638,-21.30578362
-0.39,0.02,58.95386919,779.2105897,68.69421638,-21.30578362
-0.39,0.03,58.73649168,810.9030364,68.69421638,-21.30578362
-0.39,0.04,58.27305259,842.625372,68.69421638,-21.30578362
-0.39,0.05,57.54714021,874.3995092,68.69421638,-21.30578362
-0.39,0.06,56.53744383,906.249796,68.69421638,-21.30578362
-0.39,0.07,55.21759632,938.2036723,68.69421638,-21.30578362
-0.39,0.08,53.55598169,970.2923566,68.69421638,-21.30578362
-0.39,0.09,51.51550768,1002.551572,68.69421638,-21.30578362
-0.39,0.1,49.05334333,1035.022314,68.69421638,-21.30578362
-0.39,0.11,46.12062162,1067.75167,68.69421638,-21.30578362
-0.39,0.12,42.66210707,1100.793697,68.69421638,-21.30578362
-0.39,0.13,38.61582837,1134.210355,68.69421638,-21.30578362
-0.39,0.14,33.91267605,1168.072521,68.69421638,-21.30578362
-0.39,0.15,28.47596512,1202.461066,68.69421638,-21.30578362
-0.39,0.16,22.22096273,1237.468024,68.69421638,-21.30578362
-0.39,0.17,15.05438088,1273.19784,68.69421638,-21.30578362
-0.39,0.18,6.873834088,1309.768719,68.69421638,-21.30578362
-0.38,-0.21,15.75717583,6.017559622,69.19320899,-20.80679101
-0.38,-0.2,26.55237463,45.73047961,69.19320899,-20.80679101
-0.38,-0.19,36.11016582,84.22970439,69.19320899,-20.80679101
-0.38,-0.18,44.55529484,121.6728453,69.19320899,-20.80679101
-0.38,-0.17,52.0021157,158.1997433,69.19320899,-20.80679101
-0.38,-0.16,58.55522163,193.934101,69.19320899,-20.80679101
-0.38,-0.15,64.31004167,228.9850014,69.19320899,-20.80679101
-0.38,-0.14,69.35340317,263.4483208,69.19320899,-20.80679101
-0.38,-0.13,73.76406014,297.4080397,69.19320899,-20.80679101
-0.38,-0.12,77.61318762,330.9374614,69.19320899,-20.80679101
-0.38,-0.11,80.96484188,364.1003415,69.19320899,-20.80679101
-0.38,-0.1,83.8763865,396.9519361,69.19320899,-20.80679101
-0.38,-0.09,86.39888449,429.5399748,69.19320899,-20.80679101
-0.38,-0.08,88.57745616,461.9055646,69.19320899,-20.80679101
-0.38,-0.07,90.45160302,494.0840312,69.19320899,-20.80679101
-0.38,-0.06,92.05549756,526.1057032,69.19320899,-20.80679101
-0.38,-0.05,93.41823889,557.9966473,69.19320899,-20.80679101
-0.38,-0.04,94.56407432,589.7793578,69.19320899,-20.80679101
-0.38,-0.03,95.51258691,621.4734104,69.19320899,-20.80679101
-0.38,-0.02,96.27884883,653.0960831,69.19320899,-20.80679101
-0.38,-0.01,96.87354068,684.6629526,69.19320899,-20.80679101
-0.38,0,97.30303676,716.1884721,69.19320899,-20.80679101
-0.38,0.01,97.56945613,747.6865359,69.19320899,-20.80679101
-0.38,0.02,97.67067972,779.1710385,69.19320899,-20.80679101
-0.38,0.03,97.60033325,810.6564331,69.19320899,-20.80679101
-0.38,0.04,97.3477361,842.1582964,69.19320899,-20.80679101
-0.38,0.05,96.89781612,873.6939064,69.19320899,-20.80679101
-0.38,0.06,96.23099024,905.2828386,69.19320899,-20.80679101
-0.38,0.07,95.32301115,936.9475877,69.19320899,-20.80679101
-0.38,0.08,94.14477973,968.71422,69.19320899,-20.80679101
-0.38,0.09,92.6621235,1000.613064,69.19320899,-20.80679101
-0.38,0.1,90.83554097,1032.679446,69.19320899,-20.80679101
-0.38,0.11,88.61991179,1064.954473,69.19320899,-20.80679101
-0.38,0.12,85.96417298,1097.485874,69.19320899,-20.80679101
-0.38,0.13,82.81096094,1130.328905,69.19320899,-20.80679101
-0.38,0.14,79.09621942,1163.547322,69.19320899,-20.80679101
-0.38,0.15,74.74877337,1197.214429,69.19320899,-20.80679101
-0.38,0.16,69.68986877,1231.414205,69.19320899,-20.80679101
-0.38,0.17,63.83267829,1266.242527,69.19320899,-20.80679101
-0.38,0.18,57.08177288,1301.808479,69.19320899,-20.80679101
-0.38,0.19,49.33255931,1338.235762,69.19320899,-20.80679101
-0.38,0.2,40.47068356,1375.664217,69.19320899,-20.80679101
-0.38,0.21,30.37140021,1414.251457,69.19320899,-20.80679101
-0.37,-0.21,67.08427998,16.5842473,69.69552629,-20.30447371
-0.37,-0.2,76.20733667,55.06381615,69.69552629,-20.30447371
-0.37,-0.19,84.22562254,92.45554642,69.69552629,-20.30447371
-0.37,-0.18,91.25574576,128.9066041,69.69552629,-20.30447371
-0.37,-0.17,97.4044455,164.5470237,69.69552629,-20.30447371
-0.37,-0.16,102.7692059,199.4913064,69.69552629,-20.30447371
-0.37,-0.15,107.4388371,233.8399058,69.69552629,-20.30447371
-0.37,-0.14,111.4940228,267.6806062,69.69552629,-20.30447371
-0.37,-0.13,115.0078348,301.0898009,69.69552629,-20.30447371
-0.37,-0.12,118.0462143,334.1336767,69.69552629,-20.30447371
-0.37,-0.11,120.66842,366.8693095,69.69552629,-20.30447371
-0.37,-0.1,122.9274431,399.3456795,69.69552629,-20.30447371
-0.37,-0.09,124.8703887,431.60461,69.69552629,-20.30447371
-0.37,-0.08,126.5388249,463.6816383,69.69552629,-20.30447371
-0.37,-0.07,127.9690976,495.6068226,69.69552629,-20.30447371
-0.37,-0.06,129.1926128,527.4054933,69.69552629,-20.30447371
-0.37,-0.05,130.2360858,559.098954,69.69552629,-20.30447371
-0.37,-0.04,131.1217566,590.7051379,69.69552629,-20.30447371
-0.37,-0.03,131.8675725,622.2392276,69.69552629,-20.30447371
-0.37,-0.02,132.4873379,653.7142425,69.69552629,-20.30447371
-0.37,-0.01,132.9908299,685.1416015,69.69552629,-20.30447371
-0.37,0,133.3838815,716.5316673,69.69552629,-20.30447371
-0.37,0.01,133.6684317,747.8942775,69.69552629,-20.30447371
-0.37,0.02,133.8425417,779.2392696,69.69552629,-20.30447371
-0.37,0.03,133.9003782,810.5770064,69.69552629,-20.30447371
-0.37,0.04,133.8321641,841.9189067,69.69552629,-20.30447371
-0.37,0.05,133.6240952,873.2779901,69.69552629,-20.30447371
-0.37,0.06,133.2582241,904.669439,69.69552629,-20.30447371
-0.37,0.07,132.7123108,936.1111867,69.69552629,-20.30447371
-0.37,0.08,131.95964,967.6245367,69.69552629,-20.30447371
-0.37,0.09,130.9688057,999.2348195,69.69552629,-20.30447371
-0.37,0.1,129.7034619,1030.972093,69.69552629,-20.30447371
-0.37,0.11,128.1220407,1062.871895,69.69552629,-20.30447371
-0.37,0.12,126.1774369,1094.976049,69.69552629,-20.30447371
-0.37,0.13,123.8166593,1127.333534,69.69552629,-20.30447371
-0.37,0.14,120.9804492,1160.001427,69.69552629,-20.30447371
-0.37,0.15,117.6028654,1193.045915,69.69552629,-20.30447371
-0.37,0.16,113.610836,1226.54339,69.69552629,-20.30447371
-0.37,0.17,108.9236775,1260.581637,69.69552629,-20.30447371
-0.37,0.18,103.4525796,1295.26111,69.69552629,-20.30447371
-0.37,0.19,97.1000583,1330.69631,69.69552629,-20.30447371
-0.37,0.2,89.75937431,1367.017271,69.69552629,-20.30447371
-0.37,0.21,81.31391951,1404.37116,69.69552629,-20.30447371
-0.36,-0.21,114.6319298,25.49949169,70.20112365,-19.79887635
-0.36,-0.2,122.2529965,62.87691881,70.20112365,-19.79887635
-0.36,-0.19,128.8910401,99.28416424,70.20112365,-19.79887635
-0.36,-0.18,134.6549197,134.8584693,70.20112365,-19.79887635
-0.36,-0.17,139.6441281,169.7205657,70.20112365,-19.79887635
-0.36,-0.16,143.949389,203.9762409,70.20112365,-19.79887635
-0.36,-0.15,147.6532222,237.7177911,70.20112365,-19.79887635
-0.36,-0.14,150.8304763,271.0253669,70.20112365,-19.79887635
-0.36,-0.13,153.5488298,303.9682188,70.20112365,-19.79887635
-0.36,-0.12,155.8692589,336.6058488,70.20112365,-19.79887635
-0.36,-0.11,157.8464737,368.9890737,70.20112365,-19.79887635
-0.36,-0.1,159.529322,401.1610072,70.20112365,-19.79887635
-0.36,-0.09,160.9611602,433.1579662,70.20112365,-19.79887635
-0.36,-0.08,162.1801933,465.0103087,70.20112365,-19.79887635
-0.36,-0.07,163.2197809,496.7432082,70.20112365,-19.79887635
